,subject,sentence_type,question,speaker,intonation,illocution,annoyance,authority,polite,stance,illoc_2,perloc_2,gender,age,race,region,bias,exp_date,speaker_gen
1,R_31oOEWLrL0gNl0P,polar_Q,Armadillos,Aron,Rise,info_s,34,46,35,45,,,M,20s,Unspecified,tampa,info_s,11/28/15,M
2,R_31oOEWLrL0gNl0P,polar_Q,Manatees,Ed,Rise,info_s,44,39,43,47,,,M,20s,Unspecified,tampa,info_s,11/28/15,M
3,R_31oOEWLrL0gNl0P,polar_Q,Ants,Bonnie,Rise,request,50,39,52,33,,,M,20s,Unspecified,tampa,info_s,11/28/15,F
4,R_31oOEWLrL0gNl0P,polar_Q,Maria,Laura,Level,request,30,34,26,35,,,M,20s,Unspecified,tampa,info_s,11/28/15,F
5,R_31oOEWLrL0gNl0P,polar_Q,Movies,Ed,Level,invitation,17,36,39,23,,,M,20s,Unspecified,tampa,invitation,11/28/15,M
6,R_31oOEWLrL0gNl0P,polar_Q,Bite,Bonnie,Rise,info_s,40,32,47,38,,,M,20s,Unspecified,tampa,invitation,11/28/15,F
7,R_31oOEWLrL0gNl0P,polar_Q,Game,Laura,Level,invitation,14,14,34,34,,,M,20s,Unspecified,tampa,invitation,11/28/15,F
8,R_31oOEWLrL0gNl0P,polar_Q,Run,Aron,Fall,invitation,47,39,51,44,,,M,20s,Unspecified,tampa,invitation,11/28/15,M
9,R_31oOEWLrL0gNl0P,polar_Q,Open,Ed,Fall,request,14,26,36,33,,,M,20s,Unspecified,tampa,request,11/28/15,M
10,R_31oOEWLrL0gNl0P,polar_Q,Close,Laura,Fall,request,31,57,36,29,,,M,20s,Unspecified,tampa,request,11/28/15,F
11,R_31oOEWLrL0gNl0P,polar_Q,Box,Aron,Fall,info_s,22,61,43,32,,,M,20s,Unspecified,tampa,request,11/28/15,M
12,R_31oOEWLrL0gNl0P,polar_Q,Money,Bonnie,Fall,info_s,25,49,56,37,,,M,20s,Unspecified,tampa,request,11/28/15,F
13,R_31oOEWLrL0gNl0P,polar_Q,Laundry,Aron,Fall,request,10,28,37,29,,,M,20s,Unspecified,tampa,ambiguous,11/28/15,M
14,R_31oOEWLrL0gNl0P,polar_Q,Problem,Ed,Level,info_s,84,77,29,55,,,M,20s,Unspecified,tampa,ambiguous,11/28/15,M
15,R_31oOEWLrL0gNl0P,polar_Q,Report,Laura,Level,info_s,14,30,23,13,,,M,20s,Unspecified,tampa,ambiguous,11/28/15,F
16,R_31oOEWLrL0gNl0P,polar_Q,Dishes,Bonnie,Fall,info_s,37,15,34,43,,,M,20s,Unspecified,tampa,ambiguous,11/28/15,F
17,R_3HNVPrHcFWx6gYz,polar_Q,Armadillos,Aron,Rise,info_s,9,11,80,62,,,F,20s,Caucasian_A,"Yukon, OK",info_s,11/28/15,M
18,R_3HNVPrHcFWx6gYz,polar_Q,Manatees,Ed,Rise,info_s,10,21,72,52,,,F,20s,Caucasian_A,"Yukon, OK",info_s,11/28/15,M
19,R_3HNVPrHcFWx6gYz,polar_Q,Ants,Bonnie,Level,info_s,60,36,38,51,,,F,20s,Caucasian_A,"Yukon, OK",info_s,11/28/15,F
20,R_3HNVPrHcFWx6gYz,polar_Q,Maria,Laura,Rise,info_s,6,17,59,50,,,F,20s,Caucasian_A,"Yukon, OK",info_s,11/28/15,F
21,R_3HNVPrHcFWx6gYz,polar_Q,Movies,Ed,Rise,info_s,19,20,69,92,,,F,20s,Caucasian_A,"Yukon, OK",invitation,11/28/15,M
22,R_3HNVPrHcFWx6gYz,polar_Q,Bite,Bonnie,Level,invitation,47,28,22,36,,,F,20s,Caucasian_A,"Yukon, OK",invitation,11/28/15,F
23,R_3HNVPrHcFWx6gYz,polar_Q,Game,Laura,Rise,invitation,16,21,68,76,,,F,20s,Caucasian_A,"Yukon, OK",invitation,11/28/15,F
24,R_3HNVPrHcFWx6gYz,polar_Q,Run,Aron,Rise,info_s,45,31,41,42,,,F,20s,Caucasian_A,"Yukon, OK",invitation,11/28/15,M
25,R_3HNVPrHcFWx6gYz,polar_Q,Open,Ed,Level,request,47,61,40,46,,,F,20s,Caucasian_A,"Yukon, OK",request,11/28/15,M
26,R_3HNVPrHcFWx6gYz,polar_Q,Close,Laura,Level,info_s,79,49,27,18,,,F,20s,Caucasian_A,"Yukon, OK",request,11/28/15,F
27,R_3HNVPrHcFWx6gYz,polar_Q,Box,Aron,Level,request,38,50,82,54,,,F,20s,Caucasian_A,"Yukon, OK",request,11/28/15,M
28,R_3HNVPrHcFWx6gYz,polar_Q,Money,Bonnie,Fall,request,75,64,10,3,,,F,20s,Caucasian_A,"Yukon, OK",request,11/28/15,F
29,R_3HNVPrHcFWx6gYz,polar_Q,Laundry,Aron,Rise,info_s,77,41,14,10,,,F,20s,Caucasian_A,"Yukon, OK",ambiguous,11/28/15,M
30,R_3HNVPrHcFWx6gYz,polar_Q,Problem,Ed,Level,info_s,91,52,7,10,,,F,20s,Caucasian_A,"Yukon, OK",ambiguous,11/28/15,M
31,R_3HNVPrHcFWx6gYz,polar_Q,Report,Laura,Rise,info_s,10,44,62,54,,,F,20s,Caucasian_A,"Yukon, OK",ambiguous,11/28/15,F
32,R_3HNVPrHcFWx6gYz,polar_Q,Dishes,Bonnie,Fall,info_s,99,80,27,40,,,F,20s,Caucasian_A,"Yukon, OK",ambiguous,11/28/15,F
33,R_3hcOgNnevEvfLoV,polar_Q,Armadillos,Aron,Fall,info_s,0,0,99,81,,,F,30s,Caucasian_A,"philadelphia, pa",info_s,11/28/15,M
34,R_3hcOgNnevEvfLoV,polar_Q,Manatees,Ed,Rise,info_s,1,1,100,95,,polite,F,30s,Caucasian_A,"philadelphia, pa",info_s,11/28/15,M
35,R_3hcOgNnevEvfLoV,polar_Q,Ants,Bonnie,Level,info_s,34,35,48,47,,,F,30s,Caucasian_A,"philadelphia, pa",info_s,11/28/15,F
36,R_3hcOgNnevEvfLoV,polar_Q,Maria,Laura,Level,info_s,2,41,80,66,,,F,30s,Caucasian_A,"philadelphia, pa",info_s,11/28/15,F
37,R_3hcOgNnevEvfLoV,polar_Q,Movies,Ed,Fall,invitation,0,29,77,57,,,F,30s,Caucasian_A,"philadelphia, pa",invitation,11/28/15,M
38,R_3hcOgNnevEvfLoV,polar_Q,Bite,Bonnie,Level,invitation,76,56,22,42,,,F,30s,Caucasian_A,"philadelphia, pa",invitation,11/28/15,F
39,R_3hcOgNnevEvfLoV,polar_Q,Game,Laura,Level,invitation,0,28,97,86,,,F,30s,Caucasian_A,"philadelphia, pa",invitation,11/28/15,F
40,R_3hcOgNnevEvfLoV,polar_Q,Run,Aron,Rise,invitation,0,17,92,83,,,F,30s,Caucasian_A,"philadelphia, pa",invitation,11/28/15,M
41,R_3hcOgNnevEvfLoV,polar_Q,Open,Ed,Level,request,85,59,22,36,no,seemed annoyed,F,30s,Caucasian_A,"philadelphia, pa",request,11/28/15,M
42,R_3hcOgNnevEvfLoV,polar_Q,Close,Laura,Rise,request,0,11,98,76,,,F,30s,Caucasian_A,"philadelphia, pa",request,11/28/15,F
43,R_3hcOgNnevEvfLoV,polar_Q,Box,Aron,Rise,request,0,42,98,88,,,F,30s,Caucasian_A,"philadelphia, pa",request,11/28/15,M
44,R_3hcOgNnevEvfLoV,polar_Q,Money,Bonnie,Fall,request,60,44,24,47,,,F,30s,Caucasian_A,"philadelphia, pa",request,11/28/15,F
45,R_3hcOgNnevEvfLoV,polar_Q,Laundry,Aron,Fall,info_s,7,24,83,64,,,F,30s,Caucasian_A,"philadelphia, pa",ambiguous,11/28/15,M
46,R_3hcOgNnevEvfLoV,polar_Q,Problem,Ed,Fall,accusation,46,60,59,61,,,F,30s,Caucasian_A,"philadelphia, pa",ambiguous,11/28/15,M
47,R_3hcOgNnevEvfLoV,polar_Q,Report,Laura,Level,info_s,68,66,53,63,,seemed annoyed,F,30s,Caucasian_A,"philadelphia, pa",ambiguous,11/28/15,F
48,R_3hcOgNnevEvfLoV,polar_Q,Dishes,Bonnie,Fall,info_s,28,79,46,51,,,F,30s,Caucasian_A,"philadelphia, pa",ambiguous,11/28/15,F
49,R_1FepcwoOlTQm4b0,polar_Q,Armadillos,Aron,Rise,info_s,26,48,61,63,,,M,30s,Caucasian_A,Danville,info_s,11/28/15,M
50,R_1FepcwoOlTQm4b0,polar_Q,Manatees,Ed,Fall,info_s,27,41,58,60,,,M,30s,Caucasian_A,Danville,info_s,11/28/15,M
51,R_1FepcwoOlTQm4b0,polar_Q,Ants,Bonnie,Fall,info_s,23,42,58,64,,,M,30s,Caucasian_A,Danville,info_s,11/28/15,F
52,R_1FepcwoOlTQm4b0,polar_Q,Maria,Laura,Rise,info_s,29,46,68,63,,,M,30s,Caucasian_A,Danville,info_s,11/28/15,F
53,R_1FepcwoOlTQm4b0,polar_Q,Movies,Ed,Rise,invitation,39,51,55,48,,,M,30s,Caucasian_A,Danville,invitation,11/28/15,M
54,R_1FepcwoOlTQm4b0,polar_Q,Bite,Bonnie,Level,info_s,52,63,48,46,,,M,30s,Caucasian_A,Danville,invitation,11/28/15,F
55,R_1FepcwoOlTQm4b0,polar_Q,Game,Laura,Rise,info_s,42,38,55,50,,,M,30s,Caucasian_A,Danville,invitation,11/28/15,F
56,R_1FepcwoOlTQm4b0,polar_Q,Run,Aron,Level,invitation,61,70,38,35,,,M,30s,Caucasian_A,Danville,invitation,11/28/15,M
57,R_1FepcwoOlTQm4b0,polar_Q,Open,Ed,Rise,request,36,54,42,36,,,M,30s,Caucasian_A,Danville,request,11/28/15,M
58,R_1FepcwoOlTQm4b0,polar_Q,Close,Laura,Fall,request,53,57,39,42,,,M,30s,Caucasian_A,Danville,request,11/28/15,F
59,R_1FepcwoOlTQm4b0,polar_Q,Box,Aron,Rise,request,29,40,73,71,,,M,30s,Caucasian_A,Danville,request,11/28/15,M
60,R_1FepcwoOlTQm4b0,polar_Q,Money,Bonnie,Fall,request,40,46,61,59,,,M,30s,Caucasian_A,Danville,request,11/28/15,F
61,R_1FepcwoOlTQm4b0,polar_Q,Laundry,Aron,Rise,invitation,52,62,50,45,,,M,30s,Caucasian_A,Danville,ambiguous,11/28/15,M
62,R_1FepcwoOlTQm4b0,polar_Q,Problem,Ed,Fall,info_s,60,77,36,42,,,M,30s,Caucasian_A,Danville,ambiguous,11/28/15,M
63,R_1FepcwoOlTQm4b0,polar_Q,Report,Laura,Fall,info_s,56,65,51,53,,,M,30s,Caucasian_A,Danville,ambiguous,11/28/15,F
64,R_1FepcwoOlTQm4b0,polar_Q,Dishes,Bonnie,Fall,info_s,68,78,36,30,,,M,30s,Caucasian_A,Danville,ambiguous,11/28/15,F
65,R_z7EIoL8tuPpRN8l,polar_Q,Armadillos,Aron,Rise,info_s,13,27,78,76,,,F,30s,Multiracial_A,"san francisco, california",info_s,11/28/15,M
66,R_z7EIoL8tuPpRN8l,polar_Q,Manatees,Ed,Level,info_s,7,31,71,82,,,F,30s,Multiracial_A,"san francisco, california",info_s,11/28/15,M
67,R_z7EIoL8tuPpRN8l,polar_Q,Ants,Bonnie,Fall,info_s,6,17,50,59,,,F,30s,Multiracial_A,"san francisco, california",info_s,11/28/15,F
68,R_z7EIoL8tuPpRN8l,polar_Q,Maria,Laura,Level,info_s,67,57,16,19,,,F,30s,Multiracial_A,"san francisco, california",info_s,11/28/15,F
69,R_z7EIoL8tuPpRN8l,polar_Q,Movies,Ed,Level,request,21,39,40,70,,,F,30s,Multiracial_A,"san francisco, california",invitation,11/28/15,M
70,R_z7EIoL8tuPpRN8l,polar_Q,Bite,Bonnie,Rise,invitation,4,65,89,92,,,F,30s,Multiracial_A,"san francisco, california",invitation,11/28/15,F
71,R_z7EIoL8tuPpRN8l,polar_Q,Game,Laura,Fall,invitation,18,41,85,82,,,F,30s,Multiracial_A,"san francisco, california",invitation,11/28/15,F
72,R_z7EIoL8tuPpRN8l,polar_Q,Run,Aron,Fall,invitation,18,46,37,60,,,F,30s,Multiracial_A,"san francisco, california",invitation,11/28/15,M
73,R_z7EIoL8tuPpRN8l,polar_Q,Open,Ed,Level,request,75,80,11,22,,,F,30s,Multiracial_A,"san francisco, california",request,11/28/15,M
74,R_z7EIoL8tuPpRN8l,polar_Q,Close,Laura,Rise,request,12,24,77,77,,,F,30s,Multiracial_A,"san francisco, california",request,11/28/15,F
75,R_z7EIoL8tuPpRN8l,polar_Q,Box,Aron,Level,request,71,69,20,43,,,F,30s,Multiracial_A,"san francisco, california",request,11/28/15,M
76,R_z7EIoL8tuPpRN8l,polar_Q,Money,Bonnie,Fall,request,86,77,8,31,,,F,30s,Multiracial_A,"san francisco, california",request,11/28/15,F
77,R_z7EIoL8tuPpRN8l,polar_Q,Laundry,Aron,Level,request,91,73,13,12,,,F,30s,Multiracial_A,"san francisco, california",ambiguous,11/28/15,M
78,R_z7EIoL8tuPpRN8l,polar_Q,Problem,Ed,Fall,accusation,83,81,5,7,,,F,30s,Multiracial_A,"san francisco, california",ambiguous,11/28/15,M
79,R_z7EIoL8tuPpRN8l,polar_Q,Report,Laura,Fall,accusation,89,74,15,24,,,F,30s,Multiracial_A,"san francisco, california",ambiguous,11/28/15,F
80,R_z7EIoL8tuPpRN8l,polar_Q,Dishes,Bonnie,Rise,request,72,59,24,26,,,F,30s,Multiracial_A,"san francisco, california",ambiguous,11/28/15,F
81,R_AKXoz8KeqxCN7Jn,polar_Q,Armadillos,Aron,Level,info_s,27,52,66,53,requesting,impatient,F,20s,Hispanic_A,"Hartford City, IN",info_s,11/28/15,M
82,R_AKXoz8KeqxCN7Jn,polar_Q,Manatees,Ed,Rise,info_s,3,5,80,69,sincere/asking a question,"polite, friendly",F,20s,Hispanic_A,"Hartford City, IN",info_s,11/28/15,M
83,R_AKXoz8KeqxCN7Jn,polar_Q,Ants,Bonnie,Level,accusation,62,70,15,38,,upset,F,20s,Hispanic_A,"Hartford City, IN",info_s,11/28/15,F
84,R_AKXoz8KeqxCN7Jn,polar_Q,Maria,Laura,Level,info_s,8,6,54,51,sounds interested/polite,friendly,F,20s,Hispanic_A,"Hartford City, IN",info_s,11/28/15,F
85,R_AKXoz8KeqxCN7Jn,polar_Q,Movies,Ed,Fall,invitation,45,60,46,51,uninterested,unfriendly,F,20s,Hispanic_A,"Hartford City, IN",invitation,11/28/15,M
86,R_AKXoz8KeqxCN7Jn,polar_Q,Bite,Bonnie,Level,invitation,31,44,52,54,asking a friend to go somewhere,"interested, relaxed",F,20s,Hispanic_A,"Hartford City, IN",invitation,11/28/15,F
87,R_AKXoz8KeqxCN7Jn,polar_Q,Game,Laura,Fall,invitation,12,59,62,61,sounds sort of unnatural and monotone,interested,F,20s,Hispanic_A,"Hartford City, IN",invitation,11/28/15,F
88,R_AKXoz8KeqxCN7Jn,polar_Q,Run,Aron,Fall,invitation,45,60,52,52,very neutral-sounding voice,"initiative, commanding",F,20s,Hispanic_A,"Hartford City, IN",invitation,11/28/15,M
89,R_AKXoz8KeqxCN7Jn,polar_Q,Open,Ed,Fall,request,34,63,57,50,asking someone a question/request,neutral-sounding,F,20s,Hispanic_A,"Hartford City, IN",request,11/28/15,M
90,R_AKXoz8KeqxCN7Jn,polar_Q,Close,Laura,Fall,request,8,46,64,51,sounds monotone and neutral,very plain voice,F,20s,Hispanic_A,"Hartford City, IN",request,11/28/15,F
91,R_AKXoz8KeqxCN7Jn,polar_Q,Box,Aron,Rise,request,2,50,79,58,politely asking someone a request,"nice, friendly",F,20s,Hispanic_A,"Hartford City, IN",request,11/28/15,M
92,R_AKXoz8KeqxCN7Jn,polar_Q,Money,Bonnie,Fall,request,61,70,14,14,sounds like an angry person,"accusing, attacking",F,20s,Hispanic_A,"Hartford City, IN",request,11/28/15,F
93,R_AKXoz8KeqxCN7Jn,polar_Q,Laundry,Aron,Fall,invitation,14,83,36,13,annoyed,impatient,F,20s,Hispanic_A,"Hartford City, IN",ambiguous,11/28/15,M
94,R_AKXoz8KeqxCN7Jn,polar_Q,Problem,Ed,Rise,accusation,70,57,17,17,sounds angry/upset at another person,unfriendly,F,20s,Hispanic_A,"Hartford City, IN",ambiguous,11/28/15,M
95,R_AKXoz8KeqxCN7Jn,polar_Q,Report,Laura,Rise,info_s,0,28,90,79,asking politely about something,"nice, polite",F,20s,Hispanic_A,"Hartford City, IN",ambiguous,11/28/15,F
96,R_AKXoz8KeqxCN7Jn,polar_Q,Dishes,Bonnie,Level,accusation,72,80,31,41,sounds like a parent talking to a child,"commanding, authoritative",F,20s,Hispanic_A,"Hartford City, IN",ambiguous,11/28/15,F
97,R_2xRIMLH87X7x8fE,polar_Q,Armadillos,Aron,Fall,info_s,0,0,63,57,,,F,30s,Caucasian_A,Bluffton,info_s,11/28/15,M
98,R_2xRIMLH87X7x8fE,polar_Q,Manatees,Ed,Fall,info_s,0,0,50,50,,,F,30s,Caucasian_A,Bluffton,info_s,11/28/15,M
99,R_2xRIMLH87X7x8fE,polar_Q,Ants,Bonnie,Rise,info_s,0,0,53,50,,,F,30s,Caucasian_A,Bluffton,info_s,11/28/15,F
100,R_2xRIMLH87X7x8fE,polar_Q,Maria,Laura,Fall,info_s,0,0,54,51,,,F,30s,Caucasian_A,Bluffton,info_s,11/28/15,F
101,R_2xRIMLH87X7x8fE,polar_Q,Movies,Ed,Fall,invitation,0,0,55,53,,,F,30s,Caucasian_A,Bluffton,invitation,11/28/15,M
102,R_2xRIMLH87X7x8fE,polar_Q,Bite,Bonnie,Level,info_s,40,0,57,50,,,F,30s,Caucasian_A,Bluffton,invitation,11/28/15,F
103,R_2xRIMLH87X7x8fE,polar_Q,Game,Laura,Fall,invitation,0,0,54,52,,,F,30s,Caucasian_A,Bluffton,invitation,11/28/15,F
104,R_2xRIMLH87X7x8fE,polar_Q,Run,Aron,Level,invitation,34,0,51,48,,,F,30s,Caucasian_A,Bluffton,invitation,11/28/15,M
105,R_2xRIMLH87X7x8fE,polar_Q,Open,Ed,Fall,request,41,0,51,50,,,F,30s,Caucasian_A,Bluffton,request,11/28/15,M
106,R_2xRIMLH87X7x8fE,polar_Q,Close,Laura,Level,request,17,0,52,51,,,F,30s,Caucasian_A,Bluffton,request,11/28/15,F
107,R_2xRIMLH87X7x8fE,polar_Q,Box,Aron,Rise,invitation,9,0,53,51,,,F,30s,Caucasian_A,Bluffton,request,11/28/15,M
108,R_2xRIMLH87X7x8fE,polar_Q,Money,Bonnie,Rise,request,54,0,52,49,,,F,30s,Caucasian_A,Bluffton,request,11/28/15,F
109,R_2xRIMLH87X7x8fE,polar_Q,Laundry,Aron,Fall,invitation,56,0,46,38,,,F,30s,Caucasian_A,Bluffton,ambiguous,11/28/15,M
110,R_2xRIMLH87X7x8fE,polar_Q,Problem,Ed,Fall,request,60,63,5,40,,,F,30s,Caucasian_A,Bluffton,ambiguous,11/28/15,M
111,R_2xRIMLH87X7x8fE,polar_Q,Report,Laura,Level,info_s,44,0,52,47,,,F,30s,Caucasian_A,Bluffton,ambiguous,11/28/15,F
112,R_2xRIMLH87X7x8fE,polar_Q,Dishes,Bonnie,Fall,info_s,49,11,51,50,,,F,30s,Caucasian_A,Bluffton,ambiguous,11/28/15,F
113,R_20YuVpnaqZthay5,polar_Q,Armadillos,Aron,Fall,info_s,0,85,80,70,,,F,50s_60s,Caucasian_A,"tucson, az",info_s,11/28/15,M
114,R_20YuVpnaqZthay5,polar_Q,Manatees,Ed,Rise,info_s,0,1,94,90,,,F,50s_60s,Caucasian_A,"tucson, az",info_s,11/28/15,M
115,R_20YuVpnaqZthay5,polar_Q,Ants,Bonnie,Fall,info_s,0,0,95,90,,,F,50s_60s,Caucasian_A,"tucson, az",info_s,11/28/15,F
116,R_20YuVpnaqZthay5,polar_Q,Maria,Laura,Fall,info_s,0,0,80,60,,,F,50s_60s,Caucasian_A,"tucson, az",info_s,11/28/15,F
